罗汉果菊花茶,"清咽利喉,生津(现代)","湿热,平和",沸水浸10min。,咽痛干咳时。,脾胃虚寒慎。,秋,
玫瑰柠檬暖胃饮,"疏肝和胃,解腻(现代)","气郁,平和",温饮。,午后。,胃酸过多慎。,四季,
蓝莓酸奶燕麦杯,"抗氧化(现代),益肠道(现代)","平和,阴虚",分层装杯冷藏。,早餐/加餐。,乳糖不耐慎; 糖尿病控量。,夏,
猪肝胡萝卜羹,补肝明目(现代),血虚,小火煮成羹。,每周1-2次。,高脂血症慎量; 痛风急性期慎。,冬春,
枸杞菊花明目茶,清肝明目(现代),"阴虚,平和",沸水浸10min。,午后。,晚间少饮影响睡眠。,春秋,
酸枣仁百合宁心汤,"养心安神,助眠(现代)","阴虚,心虚",隔水炖40min。,睡前少量。,孕期遵医嘱; 低血压者慎。,秋冬,
桂圆莲子小米粥,"养心安神,健脾(现代)","气虚,脾虚",小火煮粥。,晚间半碗。,糖尿病慎量。,秋冬,
开菲尔蜂蜜饮,"益生菌(现代),助眠(现代)","阴虚,平和",冷藏饮用。,晚间少量。,乳糖不耐慎; 糖尿病慎蜜。,夏,
羊排萝卜暖身汤,"温阳散寒,补中(现代)","阳虚,气虚",炖60-90min。,寒冷季每周1次。,高尿酸者慎; 去油。,冬,
桂皮红茶能量饮,温阳提神(现代),"阳虚,气虚",热水冲泡。,早间。,失眠者晚间慎; 阴虚火旺者慎。,冬,
牛腩藜麦能量饭,"补中益气,提升体力(现代)","气虚,平和",焖煮拌合。,午餐主食。,痛风急性期慎牛肉。,四季,
乌鸡山药枸杞盅,"益气养阴,促进恢复(现代)","气虚,阴虚",盅蒸20-25min。,术后/体虚。,糖尿病控制主食。,四季,
鳕鱼豆腐青豆羹,易消化高蛋白(现代),"气虚,平和",煮后打成羹。,恢复期。,痛风急性期慎豆类。,四季,
鸡胸芦笋清炒,低脂高蛋白(现代),"气虚,平和",快炒。,运动后餐。,胃炎活跃期慎蒜。,春夏,
鹰嘴豆藜麦沙拉,"控糖友好(现代),饱腹(现代)","痰湿,平和",拌合。,午餐替代。,痛风急性期慎豆类。,四季,
大麦茶山楂饮,消食化滞(现代),"痰湿,食积",温饮。,餐后。,胃酸过多慎。,秋,
西兰花牛里脊清炒,控脂高纤(现代),"气虚,平和",快炒少油。,晚餐。,痛风急性期慎牛肉。,四季,
春蔬合炒(荠菜/蒜苗/香芹),"清热利湿,补微量营养(现代)","湿热,平和",快炒。,春季常规菜。,脾胃虚寒少量。,春,
夏日荷叶绿豆饮,"清暑解热,利水(现代)","湿热,平和",小火20min。,暑天少量多次。,脾胃虚寒慎。,夏,
秋梨枇杷润肺汤,润肺止咳(现代),"阴虚,燥热",炖30-40min。,秋季。,糖尿病慎甜。,秋,
冬令牛肉萝卜汤,"温中益气,助御寒(现代)","阳虚,气虚",炖60-90min。,冬季保暖。,痛风急性期慎牛肉。,冬,
乌龙陈皮化滞茶,化腻理气(现代),"痰湿,气滞",沸水浸。,餐后。,胃酸高者慎陈皮。,四季,
玉米须荷叶利水饮,利水消肿(现代),"湿热,痰湿",小火20min。,水肿时少量多次。,孕期慎荷叶。,夏,
桂皮苹果醋暖胃饮,温中和胃(现代),"气虚,阳虚",温饮。,餐后。,胃溃疡期慎酸。,冬,
茄子番茄家常煲,"清热生津,开胃(现代)","平和,湿热",小火炖至软。,夏秋。,脾胃虚寒慎。,夏秋,
彩椒鸡蛋快炒,高纤低脂(现代),平和,快炒。,早餐/简餐。,高脂血症控制油。,四季,
佛手瓜扁豆清汤,和中利水(现代),"湿热,脾虚",清煮10-12min。,夏季。,脾胃虚寒少量。,夏,
﻿title_zh,intent_tags,constitution_tags,method,usage,cautions,seasonality,source_ref
玉竹麦冬润肺羹,"养阴润肺,止咳(现代)","阴虚,燥热",隔水炖40min。,咽干干咳时温服。,糖尿病慎糖。,秋冬,
川贝枇杷雪梨盅,"清肺化痰,止咳(现代)","湿热,燥热",隔水炖30-40min。,每日1次。,脾胃虚寒者慎。,秋,
茯苓百合安神粥,"宁心安神,健脾(现代)","心虚,脾虚,阴虚",小火煮粥。,睡前半碗。,糖尿病慎量。,秋冬,
酸枣仁茯苓茶,安神助眠(现代),"阴虚,心虚",沸水浸15min。,睡前少量。,孕期遵医嘱; 低血压慎。,秋冬,
黑芝麻蜂蜜润肠糊,润燥通便(现代),"阴虚,血虚,燥热",温水调糊。,早晚各一次。,糖尿病慎蜜。,秋冬,
无花果藕粉羹,生津润燥(现代),"阴虚,平和",开水冲成糊。,便秘时。,糖尿病慎甜。,秋,
当归红枣乌鸡汤,补血活血(现代),"血虚,气虚",炖60-90min。,经期后1-2次。,孕期慎当归; 高脂血症去油。,冬,
桂圆莲子枸杞羹,"养心安神,补血(现代)","气虚,血虚,阴虚",隔水炖40min。,晚间温服。,糖尿病慎甜。,秋冬,
核桃黑芝麻芝麻糊,"滋补肝肾,润肤乌发(现代)","阴虚,血虚",温水调糊。,早餐/加餐。,痰湿体质慎量。,秋冬,
猪蹄花生汤,养血润燥(现代),"血虚,阴虚",炖90min。,每周1次。,高脂血症慎量; 去油。,秋冬,
玫瑰茉莉疏肝茶,"疏肝理气,缓解焦虑(现代)","气郁,平和",沸水浸10min。,午后饮。,孕期慎玫瑰。,春,
紫苏姜汤解郁饮,"解表散寒,理气(现代)","气郁,阳虚",小火煮10min。,外感风寒/胸闷。,热盛者慎。,冬春,
山楂陈皮麦芽茶,消食化滞(现代),"痰湿,食积",沸水浸10-15min。,餐后。,胃酸过多慎山楂/空腹不宜。,秋,
葛根粥,"升津止渴,和中(现代)","气虚,阴虚",小火煮粥。,早餐。,糖尿病慎主食量。,四季,
燕麦藜麦能量粥,"控脂控糖(现代),饱腹(现代)","痰湿,平和",小火煮粥。,早餐。,糖尿病按主食量换算。,四季,
苦瓜鸡胸清炒,"清热祛湿,控糖(现代)","湿热,平和",快炒。,午/晚餐。,脾胃虚寒者慎。,夏,
荷叶冬瓜薏米汤,利水消肿(现代),"湿热,痰湿",小火40min。,梅雨季。,孕期慎多荷叶。,夏,
玉米须海带利水汤,利水软坚(现代),"湿热,痰湿",清煮20-30min。,水肿时。,甲状腺病遵医嘱。,夏,
西梅苹果润肠羹,润肠通便(现代),"阴虚,平和",小火炖20min。,便秘时。,糖尿病慎甜。,秋冬,
黑加仑酸奶杯,"抗氧化(现代),益生菌(现代)","平和,阴虚",冷藏后食。,加餐。,乳糖不耐慎。,夏,
猪肝枸杞菠菜汤,"补肝养血,明目(现代)",血虚,清煮8-10min。,每周1-2次。,高脂血症慎量。,冬春,
桑葚蓝莓果杯,补血抗氧(现代),"血虚,阴虚",拌合即食。,加餐。,糖尿病慎甜。,夏,
生姜葱白苏叶汤,发汗解表(现代),"阳虚,气虚",小火煮10min。,风寒初起。,汗出多者慎。,冬春,
桂枝红糖暖身饮,温阳散寒(现代),"阳虚,气虚",热水冲。,月经寒痛/畏寒。,糖尿病禁糖。,冬,
佛手玫瑰疏肝饮,疏肝理气(现代),"气郁,平和",沸水浸10min。,午后。,孕期慎玫瑰。,春,
陈皮山楂开胃茶,理气化滞(现代),"痰湿,食积",沸水浸。,餐后。,胃酸过多慎。,四季,
梨枸杞桂花羹,润肺养颜(现代),"阴虚,燥热",隔水炖20-30min。,睡前少量。,糖尿病慎甜。,秋,
银耳莲子桂圆羹,养阴安神(现代),"阴虚,心虚",慢炖60min。,晚间。,糖尿病慎甜。,秋冬,
山药南瓜小米粥,健脾益气(现代),"脾虚,气虚",小火煮粥。,早餐。,糖尿病控主食。,秋,
牛骨番茄蔬菜汤,"补钙高汤(现代),健胃","气虚,平和",清炖90min。,每周1次。,高脂血症去油。,冬,
太子参茯苓养心汤,益气养心(现代),"气虚,心虚",小火炖40-60min。,每周2次。,糖尿病慎甜。,四季,
黑豆黑芝麻粥,滋补肝肾(现代),"阴虚,血虚",小火煮粥。,晚间半碗。,痛风急性期慎豆。,秋冬,
内酯豆腐菠菜羹,清淡易消化(现代),平和,煮成羹。,病后恢复。,肾结石史焯水后食。,春,
燕麦开菲尔早餐杯,"益生菌(现代),饱腹(现代)",平和,冷藏后食。,早餐。,乳糖不耐慎。,夏,
羊蝎子暖身锅,"温阳散寒,强筋骨(现代)",阳虚,炖90min。,冬季。,高尿酸者慎; 去油。,冬,
桂皮花椒炖牛腱,温阳祛寒(现代),阳虚,炖60-90min。,寒冷季。,血压高者少盐。,冬,
紫菜豆腐蛋花汤,软坚化痰(现代),"痰湿,湿热",沸水下料成花。,每周1-2次。,甲状腺病遵医嘱。,四季,
裙带菜海带清汤,补碘利水(现代),"痰湿,湿热",清煮10-15min。,每周1次。,甲状腺病遵医嘱。,夏,
土豆胡萝卜鸡茸羹,和中益气(现代),"气虚,平和",煮熟打泥。,儿童辅食。,注意盐量。,四季,
玉米南瓜糊,健脾和中(现代),"脾虚,气虚",煮烂打糊。,早餐。,糖尿病控主食。,秋,
蓝莓香蕉乳清杯,"抗氧化(现代),补充能量(现代)",平和,搅拌即食。,运动后。,糖尿病慎蜜。,夏,
牛油果鸡蛋全麦吐司,"优质脂肪(现代),饱腹(现代)",平和,抹酱加蛋。,早餐。,高脂血症控制油。,四季,
金银花甘草清火茶,清热解毒(现代),湿热,沸水浸10min。,口疮期。,脾胃虚寒慎。,夏,
菊花薄荷茶,清热疏风(现代),湿热,热水浸。,上火时。,胃寒者慎。,夏,
